id,codigo_actividad,comment,created_at,invoice_type,paid_amount,price_with_tax,price_without_tax,receiver_email,receiver_nombre,receiver_tax_payer_id,status,tax,updated_at,version,condicion_venta_id,currency_id,medio_pago_id,profile_id,receiver_profile_id,medio_pago_details
1,11102.0,,2024-07-17 05:02:50.364,FACTURA,0.0,4000.0,4000.0,ym.abubakr7@gmail.com,PAMI PAMI CR LIMITADA,3102823257.0,IN_PROGRESS,0.0,,0,3.0,37,3.0,3,3.0,
52,111001.0,,2024-08-02 21:33:55.453,FACTURA,400.0,4205.0,4130.0,rislammb@gmail.com,Nimbuland S.A,3102823232.0,IN_PROGRESS,75.0,2024-10-31 14:20:50.195,15,3.0,37,2.0,58,103.0,
53,851201.0,comment,2024-08-03 09:02:03.016,RECEIPT,0.01,100.01,100.01,facturas@pamipami.cr,PAMI PAMI CR LIMITADA,3102823257.0,IN_PROGRESS,0.0,2024-08-28 07:29:54.100,2,1.0,149,4.0,58,,
54,101001.0,Testing Factura Activa,2024-08-03 18:19:56.481,FACTURA,100.0,100.0,100.0,dimarijnr@gmail.com,PAMI PAMI CR LIMITADA,3102823257.0,IN_PROGRESS,0.0,2024-08-21 11:37:02.015,9,1.0,37,4.0,58,4.0,
55,141001.0,editwww,2024-08-05 05:19:09.127,FACTURA,58.0,90.24,89.0,hassan@gmail.com,PAMI PAMI CR LIMITADA,3102823257.0,IN_PROGRESS,1.24,2024-10-29 15:31:43.320,34,7.0,37,2.0,56,,asdas
102,142901.0,mm,2024-08-06 13:58:50.276,FACTURA,0.0,113.0,113.0,ash@gmail.com,Dmytro null testFirstSurname testSecondSurname,123456789.0,IN_PROGRESS,0.0,2024-09-04 10:46:38.011,28,6.0,149,3.0,56,,
103,142902.0,ss,2024-08-06 14:00:30.976,FACTURA,0.0,11.0,11.0,ash@gmail.com,testt,1111123456.0,IN_PROGRESS,0.0,,0,7.0,149,2.0,56,,
202,,,2024-08-08 11:56:12.124,FACTURA,0.0,-100.0,-100.0,demchenko12.dmitriy@gmail.com,testt,,IN_PROGRESS,0.0,2024-11-29 10:34:34.446,1,,37,,5,53.0,
252,,,2024-08-12 07:45:49.928,FACTURA,62.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,2024-08-22 13:14:51.195,4,,149,,56,,
253,,,2024-08-12 09:39:48.684,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,56,,
254,,,2024-08-12 09:50:43.911,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,56,,
255,,,2024-08-12 10:10:24.767,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,56,,
256,120001.0,asdas,2024-08-12 11:18:43.087,FACTURA,62.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,2024-09-17 04:13:46.291,3,,149,,56,,asdasd
302,142101.0,,2024-08-14 03:10:44.942,FACTURA,0.0,3.24,3.0,gizaw@a2sv.org,PAMI PAMI CR LIMITADA,3102823257.0,IN_PROGRESS,0.24,,0,1.0,149,2.0,502,,
