id,codigo_actividad,comment,created_at,invoice_type,paid_amount,price_with_tax,price_without_tax,receiver_email,receiver_nombre,receiver_tax_payer_id,status,tax,updated_at,version,condicion_venta_id,currency_id,medio_pago_id,profile_id,receiver_profile_id,medio_pago_details
1,11102,,2024-07-17 05:02:50.364288,FACTURA,0.00,4000.00,4000.00,ym.abubakr7@gmail.com,PAMI PAMI CR LIMITADA,3102823257,IN_PROGRESS,0.00,,0,3,37,3,3,3,
2,141001,,2024-08-01 23:53:59.542489,FACTURA,0.00,4.00,4.00,test@test.com,test,2222222222,IN_PROGRESS,0.00,2024-08-02 22:35:07.083202,1,2,37,3,103,,
52,111001,,2024-08-02 21:33:55.453476,FACTURA,400.00,4205.00,4130.00,rislammb@gmail.com,Nimbuland S.A,3102823232,IN_PROGRESS,75.00,2024-10-31 14:20:50.195446,15,3,37,2,58,103,
53,851201,comment,2024-08-03 09:02:03.016242,RECEIPT,0.01,100.01,100.01,facturas@pamipami.cr,PAMI PAMI CR LIMITADA,3102823257,IN_PROGRESS,0.00,2024-08-28 07:29:54.099796,2,1,149,4,58,,
54,101001,Testing Factura Activa,2024-08-03 18:19:56.481100,FACTURA,100.00,100.00,100.00,dimarijnr@gmail.com,PAMI PAMI CR LIMITADA,3102823257,IN_PROGRESS,0.00,2024-08-21 11:37:02.014879,9,1,37,4,58,4,
55,141001,editwww,2024-08-05 05:19:09.126559,FACTURA,58.00,90.24,89.00,hassan@gmail.com,PAMI PAMI CR LIMITADA,3102823257,IN_PROGRESS,1.24,2024-10-29 15:31:43.319562,34,7,37,2,56,,asdas
102,142901,mm,2024-08-06 13:58:50.276443,FACTURA,0.00,113.00,113.00,ash@gmail.com,Dmytro null testFirstSurname testSecondSurname,123456789,IN_PROGRESS,0.00,2024-09-04 10:46:38.010923,28,6,149,3,56,,
103,142902,ss,2024-08-06 14:00:30.975670,FACTURA,0.00,11.00,11.00,ash@gmail.com,testt,1111123456,IN_PROGRESS,0.00,,0,7,149,2,56,,
152,101001,,2024-08-08 03:54:42.760868,FACTURA,2.00,6156.74,6036.02,godadsamuel@gmail.com,PAMI PAMI CR LIMITADA,3102823257,IN_PROGRESS,120.72,2024-11-13 16:23:54.861611,410,4,149,1,303,258,
202,,,2024-08-08 11:56:12.123945,FACTURA,0.00,0.00,0.00,demchenko12.dmitriy@gmail.com,testt,,IN_PROGRESS,0.00,,0,,37,,5,53,
252,,,2024-08-12 07:45:49.928319,FACTURA,62.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,2024-08-22 13:14:51.194885,4,,149,,56,,
253,,,2024-08-12 09:39:48.683697,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
254,,,2024-08-12 09:50:43.911084,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
255,,,2024-08-12 10:10:24.767418,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
256,120001,asdas,2024-08-12 11:18:43.086742,FACTURA,62.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,2024-09-17 04:13:46.290728,3,,149,,56,,asdasd
302,142101,,2024-08-14 03:10:44.941915,FACTURA,0.00,3.24,3.00,gizaw@a2sv.org,PAMI PAMI CR LIMITADA,3102823257,IN_PROGRESS,0.24,,0,1,149,2,502,,
352,,,2024-08-16 07:10:15.613490,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
402,,,2024-08-19 04:41:01.130841,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
452,,,2024-08-19 08:20:48.583406,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
453,,,2024-08-19 08:39:45.786685,TICKET,0.00,0.00,0.00,yoni@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,305,,
454,,,2024-08-19 08:39:47.316165,FACTURA,0.00,0.00,0.00,yoni@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,305,,
455,,,2024-08-19 08:51:39.128588,FACTURA,0.00,0.00,0.00,yoni@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,305,,
502,141001,,2024-08-21 09:26:18.528633,FACTURA,2.00,2.00,2.00,Tom@j-Class.com,Tom Test,,IN_PROGRESS,0.00,2024-08-21 11:39:29.034810,14,6,37,2,307,,
503,120001,,2024-08-21 11:29:35.549170,FACTURA,200.00,200.00,200.00,dimarijnr@gmail.com,PAMI PAMI CR LIMITADA,3102823257,IN_PROGRESS,0.00,2024-08-21 11:32:44.998256,8,2,37,3,58,4,
552,,,2024-08-22 13:13:57.324191,FACTURA,31.00,132.36,131.00,ash@gmail.com,testt,,IN_PROGRESS,1.36,2024-11-13 12:09:49.099670,21,,149,,56,,
553,,,2024-08-22 13:14:14.623541,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
554,101001,,2024-08-22 13:18:29.675487,FACTURA,0.00,3.00,3.00,ash@gmail.com,testt,1111123456,IN_PROGRESS,0.00,,0,2,37,3,56,,
602,,,2024-08-23 09:41:04.882098,FACTURA,0.00,0.00,0.00,dimarijnr@gmail.com,Yusuf Dimari,,IN_PROGRESS,0.00,,0,,37,,58,4,
603,111001,,2024-08-26 11:30:45.912817,FACTURA,4.00,20456.02,20055.00,tom@pamipami.cr,PAMI PAMI CR LIMITADA,3102823257,IN_PROGRESS,401.02,2024-11-15 10:33:57.173244,11,3,37,2,307,307,
652,314001,test internal comment,2024-08-30 12:35:52.115613,FACTURA,0.00,113.00,100.00,dimarijnr@gmail.com,PAMI PAMI CR LIMITADA,3102823257,IN_PROGRESS,13.00,,0,1,37,4,58,4,
702,,,2024-08-31 19:58:25.966224,FACTURA,0.00,0.00,0.00,ebrahimhayat241@gmail.com,name,,IN_PROGRESS,0.00,,0,,37,,255,255,
703,120001,,2024-09-02 09:11:17.265335,FACTURA,10.40,10.40,10.00,sefineh@gmail.com,testt,1111123456,IN_PROGRESS,0.40,2024-09-02 09:14:37.397218,2,5,37,2,208,204,Payment details
802,111001,,2024-09-12 09:57:44.607398,FACTURA,0.00,102.00,100.00,yassine@j-class.com,TEST,,IN_PROGRESS,2.00,,0,3,37,3,58,205,asd
803,120001,,2024-09-12 10:02:57.786652,FACTURA,0.00,102.00,100.00,yassine@j-class.com,TEST,,IN_PROGRESS,2.00,,0,2,37,3,58,205,asd
804,120001,,2024-09-12 11:10:43.509279,FACTURA,0.00,908.82,891.00,name2@email.com,NAME2,,IN_PROGRESS,17.82,2024-11-01 10:35:30.914318,2,2,37,3,58,,test
852,960113,test,2024-09-13 13:50:30.433314,FACTURA,10.00,83.70,77.00,test@test.com,name,3333333333,IN_PROGRESS,6.70,2024-11-18 18:02:53.881845,39,4,37,4,56,,res
853,101001,,2024-09-15 05:31:28.830133,FACTURA,0.00,10.09,9.99,amine2005fcb@gmail.com,testt,1111123456,IN_PROGRESS,0.10,2024-09-15 05:34:38.080294,2,1,149,1,805,953,Manual
858,152001,,2024-09-15 09:02:57.595258,FACTURA,0.00,218.40,210.00,test@email.com,testt,1111123456,IN_PROGRESS,8.40,,0,3,37,3,356,653,cash
902,120001,,2024-09-16 10:52:26.267656,FACTURA,0.00,48.59,43.00,aaamin2@email.com,ABDULLAH,,IN_PROGRESS,5.59,,0,6,37,3,552,,asd
903,911102,,2024-09-17 07:49:35.297889,FACTURA,0.00,218.40,210.00,newtest@email.com,ABDULLAH,,IN_PROGRESS,8.40,,0,2,37,2,356,,cash
904,911102,,2024-09-17 09:16:45.061570,FACTURA,0.00,218.40,210.00,test@email.com,test,2222222222,IN_PROGRESS,8.40,,0,2,37,2,356,653,details
952,101001,,2024-09-20 11:06:18.987973,FACTURA,0.00,2.02,2.00,test@gmail.com,Test name,,IN_PROGRESS,0.02,,0,1,37,1,805,,test
953,,,2024-09-22 14:52:49.070600,FACTURA,0.00,0.00,0.00,ebrahimhayat241@gmail.com,name,,IN_PROGRESS,0.00,,0,,37,,255,255,
954,142901,tax,2024-09-22 15:00:19.551001,FACTURA,0.00,23.46,23.00,aklileyilma@gmail.com,AKLILE,,IN_PROGRESS,0.46,,0,5,37,4,255,254,tax
1002,111001,asd,2024-09-30 14:05:29.744229,FACTURA,0.00,102.00,100.00,factura@pamifactura.com,PAMI PAMI CR LIMITADA,3102823257,IN_PROGRESS,2.00,,0,3,37,2,58,,asd
1052,960113,test,2024-10-03 10:50:49.297095,FACTURA,0.00,1.02,1.00,aashir2027270@gmail.com,Ashir Client,3333333333,IN_PROGRESS,0.02,,0,3,37,2,58,104,test
1053,960113,,2024-10-03 10:52:24.476468,FACTURA,0.00,102.00,100.00,factura@nimbuland.com,semir,,IN_PROGRESS,2.00,,0,7,37,3,58,,tes
1054,960113,,2024-10-03 12:00:27.349955,FACTURA,0.00,10.20,10.00,factura@nimbuland.com,semir,,IN_PROGRESS,0.20,,0,3,37,4,58,1502,
1102,452002,,2024-10-04 10:28:43.229414,FACTURA,0.00,145.24,131.00,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,3102823232,IN_PROGRESS,14.24,2024-11-23 19:32:15.956008,2,1,37,1,58,56,
1252,,,2024-10-11 09:13:12.618840,FACTURA,0.00,0.00,0.00,aashir2027270@gmail.com,Ashir Client,,IN_PROGRESS,0.00,,0,,37,,58,104,
1352,452002,test,2024-10-18 08:49:52.168132,FACTURA,0.00,1245.33,1222.00,hassan@gmail.com,Hassan,122345558787,IN_PROGRESS,23.33,,0,3,37,1,307,2102,
1353,452002,,2024-10-18 09:16:30.322410,FACTURA,0.00,70.38,69.00,ashirzuhaib3@gmail.com,NIMBU LAND HOLDING LIMITADA,3102823232,IN_PROGRESS,1.38,,0,1,37,4,58,,
1403,,,2024-10-28 18:39:22.558920,FACTURA,2.00,0.00,0.00,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,0.00,2024-10-30 06:56:38.271810,1,,37,,207,1353,
1452,,,2024-10-30 06:20:45.005060,FACTURA,6.00,10302.34,10405.80,tayyaba.dev03@gmail.com,Tayyaba Test Comp,,IN_PROGRESS,-103.46,2024-10-30 06:38:53.277514,5,,37,,207,1353,
1453,,,2024-10-30 11:40:07.062053,FACTURA,0.00,0.00,0.00,aashir2027270@gmail.com,Ashir Client,,IN_PROGRESS,0.00,,0,,37,,58,104,
1502,,,2024-11-06 16:19:49.995485,FACTURA,0.00,0.00,0.00,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,0.00,,0,,37,,207,1353,
1503,,,2024-11-06 16:19:57.987706,FACTURA,0.00,0.00,0.00,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,0.00,,0,,37,,207,1353,
1504,,,2024-11-06 16:20:02.994253,FACTURA,0.00,0.00,0.00,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,0.00,,0,,37,,207,1353,
1505,,,2024-11-06 17:27:10.853478,FACTURA,0.00,0.00,0.00,tayyaba.dev03@gmail.com,Tayyaba Test Comp,,IN_PROGRESS,0.00,,0,,37,,207,1353,
1506,,,2024-11-06 19:25:55.046678,FACTURA,0.00,0.00,0.00,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,0.00,,0,,37,,207,1353,
1507,,,2024-11-06 19:26:19.596033,FACTURA,0.00,0.00,0.00,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,0.00,,0,,37,,207,1353,
1508,452002,,2024-11-07 04:44:47.555370,FACTURA,0.00,2.02,2.00,newtest@email.com,TEST COMPANY,1234567890,IN_PROGRESS,0.02,,0,1,37,1,103,,
1552,,,2024-11-13 05:19:20.144617,FACTURA,0.00,2.04,2.00,godadsamuelat2008@gmail.com,testt,,IN_PROGRESS,0.04,2024-11-13 06:14:50.359993,1,,149,,303,303,
1553,452002,,2024-11-13 08:23:50.520243,FACTURA,0.00,2956.99,2899.01,godadsamuelat2008@gmail.com,NIMBU LAND HOLDING LIMITADA,3102823232,IN_PROGRESS,57.98,,0,2,149,2,303,303,
1554,452002,,2024-11-13 09:15:12.669680,FACTURA,0.00,2959.07,2901.01,godadsamuel@gmail.com,Samuel,6,IN_PROGRESS,58.06,,0,2,149,4,303,258,
